month;day;t_min;t_aver;t_max;ecart_norm;precip_mm
January;1;-40.8;-39.6;-37.9;-0.3;0.2
January;2;-39.7;-37.1;-32.7;2.2;0.3
January;3;-37.2;-34.1;-32.5;5.1;0
January;4;-37.5;-35.1;-32.9;4.1;0.6
January;5;-34.9;-33;-30.8;6.2;0.7
January;6;-33.5;-28.7;-24.2;10.5;1.5
January;7;-31.9;-24.8;-19.5;14.4;3.6
January;8;-24.2;-20.8;-18.3;18.3;0.5
January;9;-24.9;-20.4;-18;18.7;1.1
January;10;-28;-25;-23.3;14;0.6
January;11;-26.8;-23.4;-20;15.6;1.4
January;12;-35.5;-31.1;-26;7.9;0.7
January;13;-37.6;-34.7;-30.8;4.2;0.5
January;14;-33.2;-31.4;-30.2;7.5;0.9
January;15;-35.5;-33.8;-31.8;5;0.6
January;16;-34.7;-29.8;-26.9;8.9;0.7
January;17;-36.8;-33.8;-30;4.9;0.6
January;18;-37.1;-35.3;-33.6;3.3;1
January;19;-34.5;-33.2;-32.4;5.3;0.6
January;20;-35;-32.5;-29.3;6;0.4
January;21;-35.5;-32.1;-30;6.3;0
January;22;-38.4;-35;-31.2;3.3;0
January;23;-38;-35;-34;3.2;0.2
January;24;-40.9;-35.6;-31.6;2.5;0
January;25;-42.2;-41.2;-40.2;-3.2;0
January;26;-43.6;-42;-40.2;-4;0
January;27;-40.2;-32.3;-29.2;5.6;1.9
January;28;-36.5;-32.7;-28.5;5.1;0.2
January;29;-39.3;-36.1;-31.2;1.5;0
January;30;-32.5;-30.6;-28.9;6.9;0
January;31;-30.7;-27.1;-20.7;10.3;0.2
February;1;-29.2;-26.1;-24.8;11.2;0.4
February;2;-32.3;-28.6;-26.1;8.6;0.2
February;3;-32.8;-31.7;-28.8;5.3;0
February;4;-35.1;-33.4;-31;3.5;0
February;5;-36.6;-35;-31.7;1.7;0
February;6;-41;-39.4;-36.6;-2.9;0
February;7;-42.5;-40.3;-37.8;-4;0
February;8;-40.6;-38.6;-36.2;-2.5;0
February;9;-37.5;-34.4;-30.7;1.4;0
February;10;-34.2;-31.1;-27.3;4.5;0
February;11;-28.1;-18.8;-14.7;16.5;3.7
February;12;-27.9;-23.7;-18.8;11.3;0.3
February;13;-32;-28;-25;6.8;0.6
February;14;-38.9;-34.7;-31;-0.3;0
February;15;-39.5;-36.3;-30.7;-2.2;0
February;16;-38.2;-33;-25.8;0.8;0.4
February;17;-27.1;-24.8;-22.1;8.6;2.4
February;18;-32.5;-29;-23.6;4.1;0.6
February;19;-34.7;-30.9;-25.9;1.8;0
February;20;-37.4;-32.2;-25.3;0.1;0.2
February;21;-31;-24.4;-18.5;7.5;0.8
February;22;-28.6;-22.7;-18.2;8.7;1
February;23;-29.2;-25.6;-21.5;5.4;0.6
February;24;-29.8;-25.5;-19.2;5;0.7
February;25;-29.4;-21.6;-15.5;8.5;0.6
February;26;-17.7;-15.3;-12.3;14.3;1.2
February;27;-15.1;-13.5;-10.7;15.6;1
February;28;-22.5;-14.7;-11.1;13.8;0.6
February;29;-29.6;-22.9;-12.1;5.4;0
March;1;-30;-23.2;-13.8;4.8;0
March;2;-29.3;-23.2;-14.4;4.3;0
March;3;-29.3;-24;-14.2;3;0
March;4;-30.5;-23.8;-14.9;2.6;0
March;5;-30.7;-22;-12.6;3.9;0
March;6;-23.1;-16.1;-5.8;9.3;0
March;7;-18.8;-11;-5.8;13.8;1
March;8;-25.3;-15;-6;9.3;0
March;9;-33.7;-25.1;-16.7;-1.3;0
March;10;-20.7;-15.7;-10.2;7.5;1.2
March;11;-27.6;-20.3;-15.5;2.4;0.4
March;12;-28.6;-24.1;-18.7;-1.9;0
March;13;-35;-25.6;-15.3;-3.9;0
March;14;-26.2;-20.4;-15.5;0.7;0
March;15;-29.7;-20.8;-13.1;-0.2;0
March;16;-23.3;-16.9;-9.5;3.2;0
March;17;-13.6;-10.8;-6.5;8.8;1.3
March;18;-14.9;-11.2;-9.2;7.8;0
March;19;-26.4;-17.6;-8.5;0.9;0
March;20;-19.1;-11;-4;7;0.5
March;21;-24.3;-14.1;-2.7;3.4;0
March;22;-24;-12.7;0.1;4.2;0
March;23;-22.5;-11.6;-4.3;4.8;0
March;24;-13.4;-2.6;3.1;13.3;4.2
March;25;-18.4;-13.8;-6.3;1.6;0
March;26;-20.4;-15.3;-12;-0.5;4
March;27;-16.3;-12.8;-9.3;1.5;2
March;28;-21.8;-14.2;-7;-0.4;0
March;29;-23.7;-14.1;-4.5;-0.8;0
March;30;-16.8;-7;0.8;5.8;0.5
March;31;-11.6;-5.7;-1.8;6.5;0.4
April;1;-8.8;-4.5;-1;7.2;0.7
April;2;-12.3;-9.1;-4.8;2.1;0
April;3;-16.8;-11.1;-3.4;-0.4;0
April;4;-21.9;-9.1;-0.2;1.1;0
April;5;-8.3;-3.8;-1.1;5.9;0
April;6;-14.4;-7.1;-0.2;2.1;0
April;7;-12.9;-2.6;6.1;6.1;0
April;8;-8.5;1.8;11.9;10;0
April;9;-6.7;3.3;11.3;11;0
April;10;-7.9;1.9;11.9;9.1;0
April;11;-1.1;4.5;9.9;11.3;0
April;12;-1.8;1.2;4.6;7.5;0.4
April;13;-2.4;2.6;7.4;8.4;0
April;14;-2.9;0.9;4.8;6.2;0
April;15;-3.8;2.2;10;7.1;0
April;16;-9.8;-6.2;-2.2;-1.8;0
April;17;-14.7;-11.3;-6.7;-7.3;0
April;18;-17.1;-10.7;-5.7;-7.2;0
April;19;-14;-9;-4.2;-5.9;0
April;20;-13.8;-7;-2.1;-4.4;0
April;21;-11.1;-4.1;2.3;-1.9;0
April;22;-9.3;-1.6;4.8;0.2;0
April;23;-5.7;2.5;9.5;3.8;0
April;24;-5.6;3;9.3;3.9;0
April;25;-1.2;4.1;9.5;4.6;0
April;26;-4.7;3.7;11;3.8;0
April;27;2.1;5.6;10.8;5.2;1
April;28;-2.3;2.5;7.7;1.7;0
April;29;-3.3;0.6;5.8;-0.6;12.8
April;30;-3.1;1.7;6.8;0.1;0
May;1;-5;2.3;8.2;0.3;0
May;2;-4.3;0.4;5.1;-2;0
May;3;-4.3;0.8;6;-2;0
May;4;-3.2;2.8;8.6;-0.4;0
May;5;-5.4;3.1;9.5;-0.5;0
May;6;-5.2;6;15.1;2.1;0
May;7;-2.4;9.6;18.6;5.3;0
May;8;-0.7;3.3;10.5;-1.4;4.3
May;9;-2.9;-1.7;0.3;-6.8;2.6
May;10;-6;0.9;5.1;-4.5;0
