day;sunrise;sunset;true_noon;daylight_hours;month;day_int;month_int
Ср, 1 января ;9:44 ;15:03 ;12:24 ;5:19:30 ;Jan;1;1
Чт, 2 января ;9:43 ;15:05 ;12:24 ;5:21:44 ;Jan;2;1
Пт, 3 января ;9:43 ;15:07 ;12:25 ;5:24:10 ;Jan;3;1
Сб, 4 января ;9:42 ;15:09 ;12:25 ;5:26:46 ;Jan;4;1
Вс, 5 января ;9:41 ;15:10 ;12:26 ;5:29:34 ;Jan;5;1
Пн, 6 января ;9:40 ;15:12 ;12:26 ;5:32:32 ;Jan;6;1
Вт, 7 января ;9:39 ;15:14 ;12:26 ;5:35:41 ;Jan;7;1
Ср, 8 января ;9:37 ;15:16 ;12:27 ;5:38:59 ;Jan;8;1
Чт, 9 января ;9:36 ;15:19 ;12:27 ;5:42:26 ;Jan;9;1
Пт, 10 января ;9:35 ;15:21 ;12:28 ;5:46:03 ;Jan;10;1
Сб, 11 января ;9:33 ;15:23 ;12:28 ;5:49:48 ;Jan;11;1
Вс, 12 января ;9:32 ;15:25 ;12:29 ;5:53:42 ;Jan;12;1
Пн, 13 января ;9:30 ;15:28 ;12:29 ;5:57:43 ;Jan;13;1
Вт, 14 января ;9:28 ;15:30 ;12:29 ;6:01:52 ;Jan;14;1
Ср, 15 января ;9:27 ;15:33 ;12:30 ;6:06:08 ;Jan;15;1
Чт, 16 января ;9:25 ;15:35 ;12:30 ;6:10:30 ;Jan;16;1
Пт, 17 января ;9:23 ;15:38 ;12:30 ;6:14:59 ;Jan;17;1
Сб, 18 января ;9:21 ;15:40 ;12:31 ;6:19:35 ;Jan;18;1
Вс, 19 января ;9:19 ;15:43 ;12:31 ;6:24:17 ;Jan;19;1
Пн, 20 января ;9:17 ;15:46 ;12:31 ;6:29:02 ;Jan;20;1
Вт, 21 января ;9:15 ;15:49 ;12:32 ;6:33:55 ;Jan;21;1
Ср, 22 января ;9:12 ;15:51 ;12:32 ;6:38:51 ;Jan;22;1
Чт, 23 января ;9:10 ;15:54 ;12:32 ;6:43:52 ;Jan;23;1
Пт, 24 января ;9:08 ;15:57 ;12:32 ;6:48:59 ;Jan;24;1
Сб, 25 января ;9:06 ;16:00 ;12:33 ;6:54:08 ;Jan;25;1
Вс, 26 января ;9:03 ;16:03 ;12:33 ;6:59:22 ;Jan;26;1
Пн, 27 января ;9:01 ;16:05 ;12:33 ;7:04:38 ;Jan;27;1
Вт, 28 января ;8:58 ;16:08 ;12:33 ;7:09:59 ;Jan;28;1
Ср, 29 января ;8:56 ;16:11 ;12:34 ;7:15:23 ;Jan;29;1
Чт, 30 января ;8:53 ;16:14 ;12:34 ;7:20:49 ;Jan;30;1
Пт, 31 января ;8:51 ;16:17 ;12:34 ;7:26:18 ;Jan;31;1
Пн, 1 февраля ;8:46 ;16:22 ;12:34 ;7:36:03 ;Feb;1;2
Вт, 2 февраля ;8:43 ;16:25 ;12:34 ;7:41:38 ;Feb;2;2
Ср, 3 февраля ;8:41 ;16:28 ;12:34 ;7:47:17 ;Feb;3;2
Чт, 4 февраля ;8:38 ;16:31 ;12:34 ;7:52:56 ;Feb;4;2
Пт, 5 февраля ;8:35 ;16:34 ;12:35 ;7:58:38 ;Feb;5;2
Сб, 6 февраля ;8:32 ;16:37 ;12:35 ;8:04:20 ;Feb;6;2
Вс, 7 февраля ;8:30 ;16:40 ;12:35 ;8:10:05 ;Feb;7;2
Пн, 8 февраля ;8:27 ;16:43 ;12:35 ;8:15:51 ;Feb;8;2
Вт, 9 февраля ;8:24 ;16:46 ;12:35 ;8:21:39 ;Feb;9;2
