stat;year;jan;feb;mar;avr;may;jun;jul;aug;sept;oct;nov;dec
24959;1829;;;;;3.1;13.9;21.0;15.9;4.6;-9.8;-28.4;-37.9
24959;1830;-42.0;-36.8;-24.8;-9.1;4.7;10.7;16.6;15.8;1.6;-14.4;-25.6;-41.0
24959;1831;-41.6;-35.2;-26.0;-10.8;2.0;13.8;17.1;12.8;4.2;-7.9;-35.5;-36.9
24959;1832;-40.7;-32.3;-22.6;-4.6;2.6;12.5;12.8;10.8;2.2;-8.4;-31.0;-46.1
24959;1833;-43.0;-35.3;-24.3;-10.7;4.8;12.4;14.8;14.8;4.9;-12.2;-23.8;-38.5
24959;1834;-44.0;-36.3;-22.5;-6.6;6.9;16.2;17.6;15.8;7.5;-10.0;-27.5;-38.7
24959;1835;-42.3;-36.3;-24.1;-8.9;2.5;13.3;17.3;13.8;5.8;-9.6;-32.4;-44.9
24959;1836;-45.6;-36.8;-23.1;-13.8;2.5;14.0;19.2;11.5;8.6;-4.1;-29.8;-39.8
24959;1837;-42.3;-36.3;-26.6;-11.3;-1.1;11.6;16.4;13.0;4.4;-11.1;-33.5;-36.8
24959;1838;-48.6;-38.6;-26.5;-7.7;2.8;15.4;21.0;19.2;8.5;-5.5;-26.1;-39.3
24959;1839;-41.0;-36.0;-27.0;-8.4;5.9;13.6;20.7;18.1;6.8;-8.2;-32.2;-42.4
24959;1840;-39.6;-36.4;-29.3;-6.9;7.1;18.4;19.8;12.9;6.4;-10.8;-32.7;-40.1
24959;1841;-48.9;-39.7;-28.8;-8.6;4.1;16.5;20.9;18.1;4.5;-10.2;-31.0;-38.6
24959;1842;-49.8;-39.5;-22.4;-10.8;3.8;14.2;17.1;16.9;4.9;-10.0;-27.9;-38.4
24959;1843;-45.0;-34.0;-20.8;-10.6;2.5;15.6;20.0;16.4;2.9;-10.8;-26.4;-35.7
24959;1844;-43.1;-42.1;-23.9;-9.9;5.3;15.4;19.1;17.2;6.1;-8.2;-31.6;-46.6
24959;1845;-46.2;-41.4;-24.2;-7.7;4.2;13.7;19.3;15.3;6.9;-11.6;-30.2;-40.0
24959;1846;-38.0;-38.9;-20.4;-6.7;4.6;15.9;20.8;16.8;6.0;-8.0;-30.2;-42.7
24959;1847;-37.2;-37.2;-24.0;-10.6;3.8;14.9;18.4;14.0;5.9;-10.8;-28.1;-43.6
24959;1848;-42.1;-29.6;-22.2;-8.8;4.9;15.3;18.6;13.7;7.6;-7.4;-29.2;-40.6
24959;1849;-40.5;-31.6;-18.4;-11.0;4.7;16.3;18.9;16.2;3.5;-6.1;-26.3;-44.1
24959;1850;-42.5;-31.8;-16.4;-7.0;2.0;15.1;19.0;15.5;5.0;-15.7;-38.1;-42.6
24959;1851;-42.6;-35.0;-28.0;-13.4;6.8;14.4;21.0;16.8;5.6;-5.8;-31.0;-35.6
24959;1852;-36.2;-36.9;-26.4;-9.5;6.9;15.5;19.6;13.3;6.4;-9.7;-29.4;-36.5
24959;1853;-41.4;-41.9;-26.4;-11.9;6.2;15.9;18.1;15.8;4.8;-8.7;-33.2;-39.5
24959;1854;-43.2;-36.6;;;5.4;13.6;21.0;17.6;4.4;-4.6;-27.8;-45.6
24959;1855;-37.7;-40.4;;;;;;;;;;
24959;1856;;;;;;;;;;;;
24959;1857;;;;;;;;;;;;
24959;1858;;;;;;;;;;;;
24959;1859;;;;;;;;;;;;
24959;1860;;;;;;;;;;;;
24959;1861;;;;;;;;;;;;
24959;1862;;-37.2;-23.3;-10.1;2.8;16.4;18.1;14.5;5.7;-10.1;-26.5;-48.2
24959;1863;-47.8;-39.0;-24.9;-9.0;4.0;14.3;16.0;15.0;5.8;-9.6;-27.8;-36.5
24959;1864;-41.2;-37.5;-23.0;-7.6;6.2;15.7;19.6;16.5;5.3;-9.1;-32.6;-40.7
24959;1865;-38.0;-39.6;-27.5;-14.9;4.1;13.1;20.2;14.9;7.1;-8.2;-24.6;-34.3
24959;1866;-38.9;-38.1;-23.6;-8.0;7.7;16.9;17.2;13.6;9.0;-8.4;-26.0;-35.1
24959;1867;-45.0;-35.2;-23.3;-14.2;4.4;14.2;18.2;14.2;7.8;-7.7;;
24959;1868;;;;;;;;;;;;
24959;1869;;;;;;;;;;;;
24959;1870;-47.0;-41.9;-22.7;-11.0;3.3;15.2;20.6;15.3;5.0;-9.4;-33.8;-42.9
