station;year;jan;feb;mar;avr;may;jun;jul;aug;sept;oct;nov;dec
24959;1966;7;1;6;2;5;7;11;9;4;8;4;4
24959;1967;4;2;3;1;9;8;6;6;6;7;7;5
24959;1968;0;2;3;2;7;8;7;5;6;3;8;1
24959;1969;3;0;0;4;1;9;8;3;6;4;7;3
24959;1970;1;2;1;8;6;5;3;7;6;15;7;2
24959;1971;2;0;2;6;4;5;10;6;4;7;8;4
24959;1972;2;0;1;7;2;3;11;4;4;4;6;8
24959;1973;7;0;0;6;1;6;4;5;6;2;2;6
24959;1974;4;2;0;5;4;9;12;10;6;11;2;0
24959;1975;3;1;4;3;5;10;10;11;6;7;6;3
24959;1976;1;4;1;3;5;4;8;7;6;8;6;3
24959;1977;0;1;1;1;3;6;6;8;9;6;5;2
24959;1978;3;2;3;1;1;8;5;4;7;7;12;6
24959;1979;3;2;0;1;5;9;7;7;8;8;6;7
24959;1980;4;3;0;2;6;4;5;3;4;3;8;7
24959;1981;1;2;1;0;3;8;6;7;2;3;6;8
24959;1982;1;4;3;5;3;16;8;12;2;13;5;8
24959;1983;2;1;1;4;4;8;6;4;11;2;4;4
24959;1984;1;0;1;2;4;8;2;4;4;5;1;5
24959;1985;0;5;6;3;3;10;7;5;3;3;4;3
24959;1986;1;2;1;3;3;5;2;3;6;2;8;5
24959;1987;0;3;1;2;3;7;4;4;6;7;9;3
24959;1988;3;1;3;2;5;10;7;10;6;9;10;7
24959;1989;2;6;3;1;6;12;2;9;5;6;4;2
24959;1990;0;3;3;0;6;2;8;1;7;7;5;8
24959;1991;3;0;1;2;2;8;6;6;1;9;7;3
24959;1992;0;3;1;1;6;5;7;3;0;5;7;2
24959;1993;6;3;5;3;7;6;5;1;9;7;1;4
24959;1994;0;3;0;1;4;9;9;5;6;6;3;1
24959;1995;4;4;3;4;0;5;5;5;6;4;2;5
24959;1996;3;5;3;3;7;2;7;12;6;3;5;3
24959;1997;4;4;1;3;2;9;7;6;8;3;9;2
24959;1998;2;7;4;4;6;6;4;2;12;10;5;1
24959;1999;4;5;0;2;3;4;8;10;4;10;4;5
24959;2000;1;1;0;3;7;8;6;3;7;7;1;1
24959;2001;1;0;2;1;8;5;2;5;4;3;7;1
24959;2002;4;8;2;1;3;3;8;3;5;0;3;0
24959;2003;1;1;2;2;7;5;7;4;8;4;1;6
24959;2004;0;0;3;1;4;7;7;4;5;4;10;2
24959;2005;4;1;2;2;6;5;12;12;3;5;7;1
24959;2006;1;0;1;0;4;2;8;13;13;5;9;2
24959;2007;11;1;1;4;3;6;8;4;4;9;5;3
24959;2008;5;2;7;3;3;2;6;8;8;2;3;0
24959;2009;1;0;3;2;8;1;5;5;8;8;2;1
24959;2010;2;0;1;1;7;8;7;2;5;5;5;1
24959;2011;1;2;1;2;2;7;6;6;2;10;3;2
24959;2012;7;3;1;4;4;5;3;10;4;11;1;3
24959;2013;1;0;0;2;6;9;8;3;8;3;9;0
24959;2014;1;7;2;3;1;5;7;6;8;4;8;2
24959;2015;0;3;3;3;10;8;5;4;3;8;2;3
24959;2016;2;2;0;1;4;8;9;9;5;3;6;4
24959;2017;4;4;1;6;5;3;4;7;12;5;5;1
24959;2018;5;1;1;5;4;4;9;5;4;4;;
24959;2019;2;7;2;0;8;2;5;11;7;4;4;4
